epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1957.87,1.28797,0.57088,1.12269,0.93197,0.95032,0.97021,0.59321,1.40061,0.58125,1.22703,0.000133695,0.000133695,0.000133695
79,1982.76,1.28058,0.57702,1.12401,0.93133,0.94924,0.97108,0.59481,1.38973,0.57046,1.22184,0.000123596,0.000123596,0.000123596
80,2007.54,1.27429,0.56774,1.11268,0.9298,0.94585,0.97158,0.59754,1.38619,0.5741,1.2218,0.000113873,0.000113873,0.000113873
81,2032.41,1.26894,0.57162,1.12348,0.93069,0.94078,0.97128,0.59419,1.40098,0.57072,1.22422,0.000104537,0.000104537,0.000104537
82,2057.3,1.26037,0.55316,1.10794,0.92573,0.94902,0.9695,0.58713,1.40413,0.58135,1.23549,9.55951e-05,9.55951e-05,9.55951e-05
83,2082.1,1.28635,0.58084,1.13351,0.92863,0.94416,0.96947,0.59263,1.40225,0.57202,1.22622,8.70577e-05,8.70577e-05,8.70577e-05
84,2106.98,1.271,0.56573,1.11991,0.936,0.93232,0.96868,0.59615,1.39243,0.5731,1.22244,7.89327e-05,7.89327e-05,7.89327e-05
85,2131.89,1.26318,0.56099,1.10097,0.92328,0.94416,0.96891,0.59739,1.39619,0.57841,1.2251,7.12282e-05,7.12282e-05,7.12282e-05
86,2156.72,1.26144,0.5668,1.11287,0.92363,0.94133,0.96974,0.59812,1.39083,0.5701,1.22352,6.39518e-05,6.39518e-05,6.39518e-05
87,2181.53,1.27382,0.56473,1.11044,0.93716,0.93366,0.97055,0.59748,1.38789,0.57043,1.22261,5.71106e-05,5.71106e-05,5.71106e-05
88,2206.42,1.26194,0.56791,1.12039,0.93703,0.93162,0.97043,0.60055,1.38835,0.56884,1.22168,5.07115e-05,5.07115e-05,5.07115e-05
89,2231.31,1.26704,0.56183,1.12141,0.92687,0.94365,0.97043,0.6006,1.39055,0.56893,1.2231,4.47606e-05,4.47606e-05,4.47606e-05
90,2256.16,1.25838,0.56802,1.10564,0.9245,0.94585,0.96977,0.60143,1.38894,0.5692,1.21888,3.9264e-05,3.9264e-05,3.9264e-05
91,2281.2,1.24632,0.55193,1.14214,0.91544,0.95249,0.96724,0.58991,1.4013,0.58383,1.22693,3.4227e-05,3.4227e-05,3.4227e-05
92,2306.15,1.25708,0.56666,1.16519,0.91368,0.94755,0.96871,0.58979,1.40128,0.57233,1.23301,2.96546e-05,2.96546e-05,2.96546e-05
93,2330.95,1.24197,0.55124,1.14195,0.92471,0.93515,0.96858,0.58989,1.39757,0.57126,1.23083,2.55513e-05,2.55513e-05,2.55513e-05
94,2355.81,1.22078,0.54222,1.1345,0.92771,0.93368,0.96855,0.59305,1.39393,0.57402,1.22531,2.19212e-05,2.19212e-05,2.19212e-05
95,2380.61,1.23609,0.55296,1.13235,0.91924,0.94372,0.96819,0.5934,1.39546,0.57581,1.22639,1.87678e-05,1.87678e-05,1.87678e-05
96,2405.42,1.22105,0.54568,1.14008,0.91887,0.94585,0.96861,0.59133,1.39583,0.57472,1.22743,1.60943e-05,1.60943e-05,1.60943e-05
