epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,5858.63,1.46943,0.69211,1.28162,0.93807,0.92217,0.97195,0.54161,1.59835,0.62533,1.32819,0.000590105,0.000590105,0.000590105
91,5923.79,1.44219,0.67043,1.27635,0.91568,0.95939,0.9764,0.55726,1.56452,0.61426,1.29844,0.000582435,0.000582435,0.000582435
92,5989.35,1.47352,0.68214,1.26318,0.95003,0.93291,0.97521,0.55045,1.56277,0.60711,1.31173,0.000574746,0.000574746,0.000574746
93,6053.57,1.43081,0.64238,1.26743,0.93282,0.93986,0.97713,0.54612,1.597,0.61459,1.33833,0.00056704,0.00056704,0.00056704
94,6117.91,1.42704,0.65659,1.26265,0.91957,0.93063,0.9712,0.52887,1.63713,0.63709,1.34843,0.000559318,0.000559318,0.000559318
95,6182.82,1.43498,0.68263,1.26558,0.93392,0.9357,0.97325,0.5154,1.67315,0.63905,1.37098,0.000551584,0.000551584,0.000551584
96,6247.18,1.43905,0.66019,1.27112,0.91106,0.9533,0.97118,0.50981,1.68244,0.62928,1.37349,0.000543837,0.000543837,0.000543837
97,6311.47,1.42672,0.64678,1.26142,0.93094,0.93909,0.97394,0.53486,1.62494,0.60755,1.32311,0.000536081,0.000536081,0.000536081
98,6376.38,1.43769,0.68352,1.25211,0.93432,0.93876,0.97223,0.5355,1.64904,0.63348,1.34529,0.000528318,0.000528318,0.000528318
99,6442.31,1.41235,0.64434,1.23913,0.94559,0.93909,0.97417,0.54991,1.60906,0.61408,1.3248,0.000520548,0.000520548,0.000520548
100,6508.3,1.41701,0.65425,1.26652,0.93096,0.95093,0.97408,0.52692,1.64532,0.62162,1.34691,0.000512775,0.000512775,0.000512775
101,6573.89,1.41586,0.65446,1.24182,0.93754,0.9357,0.97724,0.52888,1.61067,0.63328,1.33224,0.000505,0.000505,0.000505
102,6639.42,1.41866,0.65062,1.26058,0.93447,0.94104,0.97359,0.56568,1.51823,0.59263,1.28026,0.000497225,0.000497225,0.000497225
103,6705.13,1.43007,0.65857,1.26659,0.92877,0.94863,0.97704,0.55131,1.55657,0.60298,1.29971,0.000489452,0.000489452,0.000489452
104,6770.94,1.45511,0.65685,1.25319,0.9364,0.94416,0.97703,0.56079,1.55881,0.60036,1.2962,0.000481682,0.000481682,0.000481682
105,6836.76,1.45667,0.69196,1.28789,0.93789,0.94536,0.97643,0.57725,1.49481,0.58064,1.26637,0.000473919,0.000473919,0.000473919
106,6901.88,1.41835,0.68519,1.24798,0.94604,0.94931,0.97806,0.57254,1.52961,0.57513,1.28278,0.000466163,0.000466163,0.000466163
107,6966.04,1.41561,0.64355,1.25176,0.95021,0.9357,0.97801,0.56434,1.54118,0.60197,1.29468,0.000458416,0.000458416,0.000458416
108,7030.56,1.39468,0.69016,1.26366,0.90981,0.94416,0.97181,0.53731,1.62113,0.62089,1.33273,0.000450682,0.000450682,0.000450682
109,7095.49,1.39479,0.64019,1.24907,0.95467,0.92644,0.97341,0.54585,1.61208,0.59805,1.32376,0.00044296,0.00044296,0.00044296
110,7160.17,1.42965,0.65025,1.26098,0.9398,0.92452,0.97519,0.5393,1.61561,0.60251,1.33153,0.000435254,0.000435254,0.000435254
111,7224.55,1.39915,0.64691,1.25233,0.92473,0.95093,0.97444,0.54082,1.61909,0.59695,1.33352,0.000427565,0.000427565,0.000427565
112,7288.98,1.40258,0.64402,1.24691,0.92594,0.94755,0.97753,0.55287,1.5855,0.60447,1.31696,0.000419895,0.000419895,0.000419895
113,7353.74,1.4345,0.65053,1.25645,0.93091,0.95093,0.9752,0.50778,1.72278,0.62101,1.38357,0.000412246,0.000412246,0.000412246
114,7419.17,1.41284,0.63298,1.24577,0.92828,0.94177,0.97742,0.55595,1.56935,0.5901,1.31118,0.00040462,0.00040462,0.00040462
115,7484.45,1.44586,0.65302,1.2842,0.92981,0.94585,0.97745,0.58401,1.50263,0.57791,1.27081,0.000397019,0.000397019,0.000397019
116,7549.39,1.39194,0.65576,1.23103,0.94641,0.9357,0.9787,0.55911,1.5661,0.58067,1.3022,0.000389445,0.000389445,0.000389445
117,7614.74,1.38645,0.63918,1.24081,0.91799,0.94924,0.97539,0.56053,1.56866,0.59647,1.30052,0.000381899,0.000381899,0.000381899
118,7680.16,1.39029,0.67836,1.24502,0.92318,0.95262,0.97909,0.57126,1.52902,0.57657,1.28422,0.000374383,0.000374383,0.000374383
119,7744.72,1.405,0.6674,1.24434,0.93119,0.94924,0.978,0.57164,1.53405,0.5888,1.28755,0.000366899,0.000366899,0.000366899
120,7808.9,1.38486,0.61839,1.23986,0.93993,0.94247,0.97566,0.5791,1.50246,0.57337,1.27462,0.00035945,0.00035945,0.00035945
121,7872.82,1.37433,0.60996,1.22679,0.93201,0.95105,0.97677,0.57889,1.48064,0.58294,1.25982,0.000352037,0.000352037,0.000352037
122,7936.68,1.38092,0.62012,1.23994,0.93901,0.94755,0.97872,0.58132,1.50183,0.57334,1.27092,0.000344661,0.000344661,0.000344661
123,8000.57,1.37561,0.61019,1.2417,0.936,0.94037,0.97563,0.57728,1.52569,0.57939,1.27932,0.000337325,0.000337325,0.000337325
124,8065.08,1.35623,0.62009,1.21856,0.92065,0.95093,0.97563,0.55896,1.56759,0.58763,1.29726,0.00033003,0.00033003,0.00033003
125,8129.32,1.40614,0.63727,1.24302,0.94225,0.93232,0.97245,0.54304,1.60826,0.58774,1.3212,0.000322778,0.000322778,0.000322778
126,8193.73,1.39818,0.63618,1.24002,0.9432,0.92386,0.97305,0.56962,1.53828,0.58035,1.28916,0.000315572,0.000315572,0.000315572
127,8257.96,1.355,0.60578,1.22211,0.93591,0.93909,0.9741,0.55379,1.58245,0.60052,1.31426,0.000308412,0.000308412,0.000308412
128,8322.64,1.37359,0.61819,1.23039,0.94367,0.93545,0.97359,0.57759,1.48135,0.57789,1.26041,0.0003013,0.0003013,0.0003013
129,8387.94,1.37162,0.6481,1.23082,0.94385,0.9386,0.97712,0.56483,1.53905,0.56597,1.29206,0.000294239,0.000294239,0.000294239
